实体一,名称一,实体二,名称二,关系
车型,奥迪TT RS 2017款 TT RS 2.5T Coupe,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪e-tron GT 2023款 基本型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪e-tron(进口) 2019款 55 quattro 时尚型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪e-tron(进口) 2019款 55 quattro 技术型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪e-tron(进口) 2019款 55 quattro 专享型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪e-tron(进口) 2019款 55 quattro 全球限量版 Edition 1,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A1 2018款 30 TFSI 限量典藏版,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2016款 30 TFSI Sportback Design风尚版,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A1 2016款 30 TFSI Sportback S Line运动版,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI 时尚型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI Sportback时尚型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI 技术型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI Sportback技术型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI Sportback舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI 豪华型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2014款 30 TFSI Sportback豪华型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2013款 30 TFSI Sportback Urban,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2013款 30 TFSI Sportback Ego,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2013款 30 TFSI 中国限量版 Ego,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2013款 30 TFSI Sportback Ego plus,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2013款 30 TFSI 中国限量版 Ego plus,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A1 2012款 1.4 TFSI Urban,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2012款 1.4 TFSI Ego,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A1 2012款 1.4 TFSI Ego plus,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2017款 Cabriolet 40 TFSI,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2015款 Sportback 45 TFSI S line 运动型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2015款 Limousine 45 TFSI S line 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2015款 Cabriolet 40 TFSI,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2014款 Sportback 40 TFSI S line 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2014款 Limousine 40 TFSI S line 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2014款 Sportback 40 TFSI S line 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2014款 Limousine 40 TFSI S line 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2013款 Sportback 30 TFSI 技术型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2013款 Sportback 30 TFSI 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2013款 Sportback 30 TFSI 豪华型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2013款 Sportback 35 TFSI 豪华型,价格区间,30-40万,IN_PRICE_RANGE
